C123Merged_EnvSNO,C123_Plot_SNO,PlotID_New,PSUID,PSU,Cluster,Plot_Pt,Cycle_PlotSNO,Cycle,Cycle_Year,X_NAD83,Y_NAD83,SampDate,Class,Soil_Dep_cm,WD_1_cm,WD_2_cm,WD_3_cm,WD_mean_cm,EDEN_WSE,EDEN_based_elev_cm,CLAJAM_ht_cm,PlotSamp_YN
3702,3838,P02354_C,P023,23,54,C,3702,C1,Yr2,527295,2876505.1,9/23/2011,Ridge/Wet Prairie,,25,,,25,262,237,200,
3703,3839,P02354_E,P023,23,54,E,3703,C1,Yr2,527297.9,2876506.1,9/23/2011,Slough/Wet Prairie,,16,,,16,262,246,200,
3704,3840,P02354_N,P023,23,54,N,3704,C1,Yr2,527291.9,2876514.7,9/23/2011,Ridge/Slough,,20,,,20,262,242,100,
3705,3841,P02355_C,P023,23,55,C,3705,C1,Yr2,527475,2876357.1,9/26/2011,Ridge,,19,,,19,265,246,300,
3706,3842,P02355_E,P023,23,55,E,3706,C1,Yr2,527482.6,2876359.6,9/26/2011,Ridge,,14,,,14,265,251,300,
3707,3843,P02355_N,P023,23,55,N,3707,C1,Yr2,527470.1,2876372.4,9/26/2011,Ridge,,17,,,17,265,248,200,
3708,3844,P02356_C,P023,23,56,C,3708,C1,Yr2,527780,2876842.1,9/26/2011,Ridge,,21,,,21,266,245,200,
3709,3845,P02356_E,P023,23,56,E,3709,C1,Yr2,527795.2,2876847.1,9/26/2011,Ridge,,31,,,31,266,235,0,
3710,3846,P02356_N,P023,23,56,N,3710,C1,Yr2,527775.4,2876856.4,9/26/2011,Wet Prairie,,20,,,20,266,246,200,
3711,3847,P02357_C,P023,23,57,C,3711,C1,Yr2,527763,2876991.1,9/26/2011,Ridge/Wet Prairie,,22,,,22,266,244,100,
3712,3848,P02357_E,P023,23,57,E,3712,C1,Yr2,527771.6,2876993.9,9/26/2011,Ridge/Wet Prairie,,42,,,42,266,224,0,
3713,3849,P02357_N,P023,23,57,N,3713,C1,Yr2,527752.8,2877022.5,9/26/2011,Wet Prairie,,25,,,25,266,241,200,
3714,3850,P02358_C,P023,23,58,C,3714,C1,Yr2,527863,2876771.1,9/26/2011,Ridge/Slough,,31,,,31,266,235,100,
3715,3851,P02358_E,P023,23,58,E,3715,C1,Yr2,527873.5,2876774.5,9/26/2011,Ridge/Wet Prairie,,25,,,25,266,241,200,
3716,3852,P02358_N,P023,23,58,N,3716,C1,Yr2,527860.8,2876777.8,9/26/2011,Ridge,,33,,,33,266,233,100,
3717,3853,P02359_C,P023,23,59,C,3717,C1,Yr2,527681,2876954.1,9/26/2011,Ridge,,20,,,20,266,246,200,
3718,3854,P02359_E,P023,23,59,E,3718,C1,Yr2,527696.2,2876959.1,9/26/2011,Ridge,,20,,,20,266,246,200,
3719,3855,P02359_N,P023,23,59,N,3719,C1,Yr2,527676.7,2876967.5,9/26/2011,Ridge,,16,,,16,266,250,200,
3720,3856,P02360_C,P023,23,60,C,3720,C1,Yr2,527701,2876661.1,9/26/2011,Slough,,36,,,36,266,230,100,
3721,3857,P02360_E,P023,23,60,E,3721,C1,Yr2,527729.5,2876670.4,9/26/2011,Slough/Wet Prairie,,30,,,30,266,236,100,
3722,3858,P02360_N,P023,23,60,N,3722,C1,Yr2,527691.1,2876691.6,9/26/2011,Slough,,36,,,36,266,230,0,
3723,3859,P02361_C,P023,23,61,C,3723,C1,Yr2,526297,2876986.1,9/23/2011,Ridge,,11,,,11,263,252,200,
3724,3860,P02361_E,P023,23,61,E,3724,C1,Yr2,526315.1,2876992,9/23/2011,Ridge,,38,,,38,263,225,0,
3725,3861,P02361_N,P023,23,61,N,3725,C1,Yr2,526287.7,2877014.7,9/23/2011,Slough,,17,,,17,263,246,200,
3726,3862,P02362_C,P023,23,62,C,3726,C1,Yr2,526332,2877132.1,9/23/2011,Slough,,47,,,47,263,216,0,
3727,3863,P02362_E,P023,23,62,E,3727,C1,Yr2,526352,2877138.6,9/23/2011,Slough,,42,,,42,263,221,0,
3728,3864,P02362_N,P023,23,62,N,3728,C1,Yr2,526326.7,2877148.3,9/23/2011,Slough,,43,,,43,263,220,0,
3729,3865,P02363_C,P023,23,63,C,3729,C1,Yr2,526387,2876955.1,9/23/2011,Slough,,44,,,44,263,219,0,
3730,3866,P02363_E,P023,23,63,E,3730,C1,Yr2,526391.8,2876956.7,9/23/2011,Slough,,38,,,38,263,225,0,
3731,3867,P02363_N,P023,23,63,N,3731,C1,Yr2,526385.1,2876960.9,9/23/2011,Wet Prairie,,43,,,43,263,220,0,
3732,3868,P02364_C,P023,23,64,C,3732,C1,Yr2,526188,2876982.1,9/23/2011,Ridge,,11,,,11,263,252,300,
3733,3869,P02364_E,P023,23,64,E,3733,C1,Yr2,526211.8,2876989.9,9/23/2011,Ridge,,10,,,10,263,253,300,
3734,3870,P02364_N,P023,23,64,N,3734,C1,Yr2,526186.1,2876987.8,9/23/2011,Ridge,,18,,,18,263,245,200,
3735,3871,P02365_C,P023,23,65,C,3735,C1,Yr2,526204,2876926.1,9/23/2011,Ridge,,18,,,18,263,245,200,
3736,3872,P02365_E,P023,23,65,E,3736,C1,Yr2,526219.2,2876931.1,9/23/2011,Ridge,,11,,,11,263,252,300,
3737,3873,P02365_N,P023,23,65,N,3737,C1,Yr2,526197.2,2876947.1,9/23/2011,Ridge,,10,,,10,263,253,300,
3738,3874,P02366_C,P023,23,66,C,3738,C1,Yr2,526726,2877532.1,9/23/2011,Slough,,39,,,39,263,224,0,
3739,3875,P02366_E,P023,23,66,E,3739,C1,Yr2,526750.7,2877540.2,9/23/2011,Slough,,42,,,42,263,221,0,
3740,3876,P02366_N,P023,23,66,N,3740,C1,Yr2,526724.5,2877536.9,9/23/2011,Slough,,41,,,41,263,222,0,
3741,3877,P02367_C,P023,23,67,C,3741,C1,Yr2,526852,2877607.1,9/23/2011,Ridge,,16,,,16,264,248,200,
3742,3878,P02367_E,P023,23,67,E,3742,C1,Yr2,526880.5,2877616.4,9/23/2011,Ridge,,20,,,20,264,244,300,
3743,3879,P02367_N,P023,23,67,N,3743,C1,Yr2,526843.7,2877632.8,9/23/2011,Tree Island,,19,,,19,264,245,100,
3744,3880,P02368_C,P023,23,68,C,3744,C1,Yr2,526786,2877487.1,9/23/2011,Slough,,41,,,41,263,222,0,
3745,3881,P02368_E,P023,23,68,E,3745,C1,Yr2,526795.5,2877490.2,9/23/2011,Slough,,42,,,42,263,221,0,
3746,3882,P02368_N,P023,23,68,N,3746,C1,Yr2,526780.4,2877504.3,9/23/2011,Wet Prairie,,36,,,36,263,227,0,
3747,3883,P02369_C,P023,23,69,C,3747,C1,Yr2,526674,2877621.1,9/23/2011,Ridge,,20,,,20,264,244,200,
3748,3884,P02369_E,P023,23,69,E,3748,C1,Yr2,526694,2877627.6,9/23/2011,Ridge,,33,,,33,264,231,0,
3749,3885,P02369_N,P023,23,69,N,3749,C1,Yr2,526666.3,2877644.9,9/23/2011,Wet Prairie,,18,,,18,264,246,100,
3750,3886,P02370_C,P023,23,70,C,3750,C1,Yr2,526743,2877454.1,9/23/2011,Slough,,40,,,40,263,223,0,
3751,3887,P02370_E,P023,23,70,E,3751,C1,Yr2,526763,2877460.6,9/23/2011,Slough,,40,,,40,263,223,0,
3752,3888,P02370_N,P023,23,70,N,3752,C1,Yr2,526739.3,2877465.6,9/23/2011,Slough,,39,,,39,263,224,0,
3753,3889,P02371_C,P023,23,71,C,3753,C1,Yr2,526997,2877842.1,9/23/2011,Slough,,41,,,41,264,223,0,
3754,3890,P02371_E,P023,23,71,E,3754,C1,Yr2,527026.5,2877851.7,9/23/2011,Slough,,41,,,41,264,223,0,
3755,3891,P02371_N,P023,23,71,N,3755,C1,Yr2,526994.8,2877848.8,9/23/2011,Slough,,38,,,38,264,226,0,
3756,3892,P02372_C,P023,23,72,C,3756,C1,Yr2,526990,2877930.1,9/23/2011,Slough,,40,,,40,264,224,0,
3757,3893,P02372_E,P023,23,72,E,3757,C1,Yr2,527002.4,2877934.2,9/23/2011,Slough,,43,,,43,264,221,0,
3758,3894,P02372_N,P023,23,72,N,3758,C1,Yr2,526987.2,2877938.7,9/23/2011,Slough,,38,,,38,264,226,0,
3759,3895,P02373_C,P023,23,73,C,3759,C1,Yr2,527028,2877800.1,9/23/2011,Slough,,37,,,37,264,227,0,
3760,3896,P02373_E,P023,23,73,E,3760,C1,Yr2,527046.1,2877806,9/23/2011,Slough,,39,,,39,264,225,0,
3761,3897,P02373_N,P023,23,73,N,3761,C1,Yr2,527025.8,2877806.8,9/23/2011,Slough,,40,,,40,264,224,0,
3762,3898,P02374_C,P023,23,74,C,3762,C1,Yr2,526934,2877857.1,9/23/2011,Slough,,37,,,37,264,227,0,
3763,3899,P02374_E,P023,23,74,E,3763,C1,Yr2,526966.3,2877867.7,9/23/2011,Slough,,37,,,37,264,227,0,
3764,3900,P02374_N,P023,23,74,N,3764,C1,Yr2,526928.4,2877874.3,9/23/2011,Slough,,40,,,40,264,224,0,
3765,3901,P02375_C,P023,23,75,C,3765,C1,Yr2,527039,2877680.1,9/23/2011,Ridge,,19,,,19,264,245,100,
3766,3902,P02375_E,P023,23,75,E,3766,C1,Yr2,527051.4,2877684.2,9/23/2011,Ridge,,16,,,16,264,248,300,
3767,3903,P02375_N,P023,23,75,N,3767,C1,Yr2,527030.3,2877706.8,9/23/2011,Ridge,,23,,,23,264,241,100,
3768,3904,P02376_C,P023,23,76,C,3768,C1,Yr2,527558,2877558.1,9/23/2011,Slough,,38,,,38,263,225,0,
3769,3905,P02376_E,P023,23,76,E,3769,C1,Yr2,527563.7,2877560,9/23/2011,Slough,,11,,,11,263,252,300,
3770,3906,P02376_N,P023,23,76,N,3770,C1,Yr2,527552.4,2877575.3,9/23/2011,Ridge,,30,,,30,263,233,0,
3771,3907,P02377_C,P023,23,77,C,3771,C1,Yr2,527558,2877686.1,9/23/2011,Ridge,,13,,,13,264,251,200,
3772,3908,P02377_E,P023,23,77,E,3772,C1,Yr2,527578,2877692.6,9/23/2011,Ridge,,16,,,16,264,248,300,
3773,3909,P02377_N,P023,23,77,N,3773,C1,Yr2,527555.8,2877692.8,9/23/2011,Ridge,,15,,,15,264,249,200,
3774,3910,P02378_C,P023,23,78,C,3774,C1,Yr2,527699,2877498.1,9/23/2011,Ridge,,16,,,16,263,247,200,
3775,3911,P02378_E,P023,23,78,E,3775,C1,Yr2,527732.3,2877509,9/23/2011,Ridge,,21,,,21,263,242,100,
3776,3912,P02378_N,P023,23,78,N,3776,C1,Yr2,527696.8,2877504.8,9/23/2011,Ridge/Slough,,13,,,13,263,250,200,
3777,3913,P02379_C,P023,23,79,C,3777,C1,Yr2,527522,2877645.1,9/23/2011,Wet Prairie,,26,,,26,264,238,100,
3778,3914,P02379_E,P023,23,79,E,3778,C1,Yr2,527555.3,2877656,9/23/2011,Slough,,30,,,30,264,234,0,
3779,3915,P02379_N,P023,23,79,N,3779,C1,Yr2,527519.5,2877652.8,9/23/2011,Wet Prairie,,30,,,30,264,234,0,
3780,3916,P02380_C,P023,23,80,C,3780,C1,Yr2,527526,2877465.1,9/23/2011,Wet Prairie,,40,,,40,263,223,0,
3781,3917,P02380_E,P023,23,80,E,3781,C1,Yr2,527538.4,2877469.2,9/23/2011,Slough,,40,,,40,263,223,0,
3782,3918,P02380_N,P023,23,80,N,3782,C1,Yr2,527523.8,2877471.8,9/23/2011,Slough,,38,,,38,263,225,0,
3783,3919,P02406_C,P024,24,6,C,3783,C1,Yr2,542485,2841390.2,2/28/2012,Wet Prairie,,10,,,10,145,135,100,
3784,3920,P02406_E,P024,24,6,E,3784,C1,Yr2,542502.5,2841386.1,2/28/2012,Wet Prairie,,13,,,13,145,132,100,
3785,3921,P02406_N,P024,24,6,N,3785,C1,Yr2,542492.6,2841423.3,2/28/2012,Wet Prairie,,0,,,0,145,145,100,
3786,3922,P02407_C,P024,24,7,C,3786,C1,Yr2,542615,2841528.2,2/28/2012,Wet Prairie,,24,,,24,145,121,100,
3787,3923,P02407_E,P024,24,7,E,3787,C1,Yr2,542618.9,2841527.3,2/28/2012,Wet Prairie,,23,,,23,145,122,100,
3788,3924,P02407_N,P024,24,7,N,3788,C1,Yr2,542619.7,2841548.6,2/28/2012,Ridge,,16,,,16,145,129,200,
3789,3925,P02408_C,P024,24,8,C,3789,C1,Yr2,542515,2841303.2,2/28/2012,Wet Prairie,,23,,,23,145,122,200,
3790,3926,P02408_E,P024,24,8,E,3790,C1,Yr2,542518.9,2841302.3,2/28/2012,Ridge,,18,,,18,145,127,200,
3791,3927,P02408_N,P024,24,8,N,3791,C1,Yr2,542516.1,2841308,2/28/2012,Wet Prairie,,24,,,24,145,121,200,
3792,3928,P02409_C,P024,24,9,C,3792,C1,Yr2,542381,2841477.2,2/28/2012,Tree Island/Ridge,,10,,,10,145,135,300,
3793,3929,P02409_E,P024,24,9,E,3793,C1,Yr2,542404.4,2841471.8,2/28/2012,Cattail/Wet Prairie,,20,,,20,145,125,0,
3794,3930,P02409_N,P024,24,9,N,3794,C1,Yr2,542384.1,2841490.8,2/28/2012,Tree Island/Wet Prairie,,17,,,17,145,128,0,
3795,3931,P02410_C,P024,24,10,C,3795,C1,Yr2,542463,2841327.2,2/28/2012,Ridge,,24,,,24,145,121,300,
3796,3932,P02410_E,P024,24,10,E,3796,C1,Yr2,542468.8,2841325.8,2/28/2012,Ridge,,22,,,22,145,123,200,
3797,3933,P02410_N,P024,24,10,N,3797,C1,Yr2,542466.4,2841341.8,2/28/2012,Ridge,,20,,,20,145,125,300,
3798,3934,P02411_C,P024,24,11,C,3798,C1,Yr2,542938,2841430.2,2/28/2012,Ridge,,27,,,27,144,117,200,
3799,3935,P02411_E,P024,24,11,E,3799,C1,Yr2,542960.4,2841425,2/28/2012,Ridge,,23,,,23,144,121,200,
3800,3936,P02411_N,P024,24,11,N,3800,C1,Yr2,542941.4,2841444.8,2/28/2012,Ridge,,15,,,15,144,129,200,
3801,3937,P02412_C,P024,24,12,C,3801,C1,Yr2,542960,2841512.2,2/28/2012,Ridge,,1,,,1,144,143,100,
3802,3938,P02412_E,P024,24,12,E,3802,C1,Yr2,542992.2,2841504.7,2/28/2012,Wet Prairie,,15,,,15,144,129,0,
3803,3939,P02412_N,P024,24,12,N,3803,C1,Yr2,542962.2,2841521.9,2/28/2012,Wet Prairie,,14,,,14,144,130,0,
3804,3940,P02413_C,P024,24,13,C,3804,C1,Yr2,543024,2841263.2,2/28/2012,Wet Prairie,,16,,,16,144,128,100,
3805,3941,P02413_E,P024,24,13,E,3805,C1,Yr2,543055.2,2841256,2/28/2012,Slough,,30,,,30,144,114,0,
3806,3942,P02413_N,P024,24,13,N,3806,C1,Yr2,543029.8,2841288.5,2/28/2012,Wet Prairie,,15,,,15,144,129,0,
3807,3943,P02414_C,P024,24,14,C,3807,C1,Yr2,542870,2841490.2,2/28/2012,Wet Prairie,,13,,,13,144,131,100,
3808,3944,P02414_E,P024,24,14,E,3808,C1,Yr2,542893.4,2841484.8,2/28/2012,Ridge,,24,,,24,144,120,200,
3809,3945,P02414_N,P024,24,14,N,3809,C1,Yr2,542877,2841520.4,2/28/2012,Wet Prairie,,23,,,23,144,121,200,
3810,3946,P02416_C,P024,24,16,C,3810,C1,Yr2,543105,2841551.2,2/28/2012,Wet Prairie,,7,,,7,144,137,100,
3811,3947,P02416_E,P024,24,16,E,3811,C1,Yr2,543125.5,2841546.4,2/28/2012,Ridge,,7,,,7,144,137,100,
3812,3948,P02416_N,P024,24,16,N,3812,C1,Yr2,543108.4,2841565.8,2/28/2012,Wet Prairie,,6,,,6,144,138,100,
3813,3949,P02417_C,P024,24,17,C,3813,C1,Yr2,543197,2841635.2,2/28/2012,Wet Prairie,,12,,,12,144,132,100,
3814,3950,P02417_E,P024,24,17,E,3814,C1,Yr2,543208.7,2841632.5,2/28/2012,Ridge,,22,,,22,144,122,200,
3815,3951,P02417_N,P024,24,17,N,3815,C1,Yr2,543198.6,2841642,2/28/2012,Ridge,,17,,,17,144,127,100,
3816,3952,P02418_C,P024,24,18,C,3816,C1,Yr2,543024,2841483.2,2/28/2012,Ridge,,22,,,22,144,122,200,
3817,3953,P02418_E,P024,24,18,E,3817,C1,Yr2,543048.4,2841477.5,2/28/2012,Ridge,,21,,,21,144,123,200,
3818,3954,P02418_N,P024,24,18,N,3818,C1,Yr2,543025.3,2841489,2/28/2012,Ridge,,21,,,21,144,123,200,
3819,3955,P02419_C,P024,24,19,C,3819,C1,Yr2,543037,2841630.2,2/28/2012,Ridge,,20,,,20,144,124,200,
3820,3956,P02419_E,P024,24,19,E,3820,C1,Yr2,543058.4,2841625.2,2/28/2012,Wet Prairie,,8,,,8,144,136,0,
3821,3957,P02419_N,P024,24,19,N,3821,C1,Yr2,543041,2841647.7,2/28/2012,Ridge,,21,,,21,144,123,200,
3822,3958,P02420_C,P024,24,20,C,3822,C1,Yr2,542976,2841463.2,2/28/2012,Ridge,,18,,,18,144,126,200,
3823,3959,P02420_E,P024,24,20,E,3823,C1,Yr2,543001.3,2841457.3,2/28/2012,Wet Prairie,,17,,,17,144,127,100,
3824,3960,P02420_N,P024,24,20,N,3824,C1,Yr2,542982.7,2841492.4,2/28/2012,Wet Prairie,,9,,,9,144,135,100,
3825,3961,P02426_C,P024,24,26,C,3825,C1,Yr2,542557,2842680.2,3/1/2012,Ridge,,22,,,22,145,123,200,
3826,3962,P02426_E,P024,24,26,E,3826,C1,Yr2,542572.6,2842676.6,3/1/2012,Ridge,,23,,,23,145,122,100,
3827,3963,P02426_N,P024,24,26,N,3827,C1,Yr2,542559,2842688.9,3/1/2012,Ridge,,20,,,20,145,125,200,
3828,3964,P02427_C,P024,24,27,C,3828,C1,Yr2,542581,2842775.2,3/1/2012,Ridge/Slough,,22,,,22,145,123,200,
3829,3965,P02427_E,P024,24,27,E,3829,C1,Yr2,542613.2,2842767.7,3/1/2012,Ridge,,23,,,23,145,122,200,
3830,3966,P02427_N,P024,24,27,N,3830,C1,Yr2,542588,2842805.4,3/1/2012,Ridge/Slough,,27,,,27,147,120,200,
3831,3967,P02428_C,P024,24,28,C,3831,C1,Yr2,542613,2842527.2,3/1/2012,Ridge,,11,,,11,145,134,200,
3832,3968,P02428_E,P024,24,28,E,3832,C1,Yr2,542647.1,2842519.3,3/1/2012,Ridge,,13,,,13,145,132,100,
3833,3969,P02428_N,P024,24,28,N,3833,C1,Yr2,542620.4,2842559.3,3/1/2012,Ridge,,12,,,12,145,133,200,
3834,3970,P02429_C,P024,24,29,C,3834,C1,Yr2,542487,2842861.2,3/1/2012,Wet Prairie/Slough,,22,,,22,147,125,100,
3835,3971,P02429_E,P024,24,29,E,3835,C1,Yr2,542521.1,2842853.3,3/1/2012,Ridge,,26,,,26,147,121,200,
3836,3972,P02429_N,P024,24,29,N,3836,C1,Yr2,542494.4,2842893.3,3/1/2012,Wet Prairie/Slough,,23,,,23,147,124,0,
3837,3973,P02430_C,P024,24,30,C,3837,C1,Yr2,542448,2842561.2,3/1/2012,Ridge/Wet Prairie,,24,,,24,145,121,200,
3838,3974,P02430_E,P024,24,30,E,3838,C1,Yr2,542452.9,2842560,3/1/2012,Ridge,,27,,,27,145,118,200,
3839,3975,P02430_N,P024,24,30,N,3839,C1,Yr2,542452.9,2842582.6,3/1/2012,Ridge,,17,,,17,145,128,300,
3840,3976,P02431_C,P024,24,31,C,3840,C1,Yr2,542826,2842440.2,3/1/2012,Ridge,,15,,,15,145,130,200,
3841,3977,P02431_E,P024,24,31,E,3841,C1,Yr2,542845.5,2842435.7,3/1/2012,Ridge,,19,,,19,145,126,200,
3842,3978,P02431_N,P024,24,31,N,3842,C1,Yr2,542828.7,2842451.9,3/1/2012,Ridge,,19,,,19,145,126,200,
3843,3979,P02432_C,P024,24,32,C,3843,C1,Yr2,542916,2842553.2,3/1/2012,Ridge,,13,,,13,145,132,200,
3844,3980,P02432_E,P024,24,32,E,3844,C1,Yr2,542934.5,2842548.9,3/1/2012,Ridge,,15,,,15,145,130,200,
3845,3981,P02432_N,P024,24,32,N,3845,C1,Yr2,542917.3,2842559,3/1/2012,Ridge,,10,,,10,145,135,200,
3846,3982,P02433_C,P024,24,33,C,3846,C1,Yr2,542923,2842352.2,3/1/2012,Ridge/Wet Prairie,,14,,,14,144,130,100,
3847,3983,P02433_E,P024,24,33,E,3847,C1,Yr2,542949.3,2842346.1,3/1/2012,Ridge/Wet Prairie,,14,,,14,144,130,100,
3848,3984,P02433_N,P024,24,33,N,3848,C1,Yr2,542929.3,2842379.5,3/1/2012,Ridge/Wet Prairie,,16,,,16,144,128,100,
3849,3985,P02434_C,P024,24,34,C,3849,C1,Yr2,542810,2842489.2,3/1/2012,Ridge,,7,,,7,145,138,200,
3850,3986,P02434_E,P024,24,34,E,3850,C1,Yr2,542821.7,2842486.5,3/1/2012,Ridge,,12,,,12,145,133,200,
3851,3987,P02434_N,P024,24,34,N,3851,C1,Yr2,542815.4,2842512.6,3/1/2012,Ridge,,9,,,9,145,136,200,
3852,3988,P02435_C,P024,24,35,C,3852,C1,Yr2,542686,2842309.2,3/1/2012,Ridge/Wet Prairie,,30,,,30,144,114,200,
3853,3989,P02435_E,P024,24,35,E,3853,C1,Yr2,542709.4,2842303.8,3/1/2012,Ridge/Wet Prairie,,24,,,24,144,120,100,
3854,3990,P02435_N,P024,24,35,N,3854,C1,Yr2,542688.9,2842321.8,3/1/2012,Ridge,,28,,,28,144,116,300,
3855,3991,P02436_C,P024,24,36,C,3855,C1,Yr2,543546,2842695.2,3/1/2012,Ridge,,28,,,28,145,117,200,
3856,3992,P02436_E,P024,24,36,E,3856,C1,Yr2,543550.9,2842694,3/1/2012,Ridge,,32,,,32,145,113,200,
3857,3993,P02436_N,P024,24,36,N,3857,C1,Yr2,543549.1,2842708.8,3/1/2012,Ridge,,31,,,31,145,114,200,
3858,3994,P02437_C,P024,24,37,C,3858,C1,Yr2,543655,2842700.2,3/1/2012,Ridge,,19,,,19,144,125,200,
3859,3995,P02437_E,P024,24,37,E,3859,C1,Yr2,543687.2,2842692.8,3/1/2012,Slough,,24,,,24,144,120,0,
3860,3996,P02437_N,P024,24,37,N,3860,C1,Yr2,543658.1,2842713.8,3/1/2012,Ridge,,28,,,28,144,116,200,
3861,3997,P02438_C,P024,24,38,C,3861,C1,Yr2,543614,2842647.2,3/1/2012,Ridge,,20,,,20,144,124,200,
3862,3998,P02438_E,P024,24,38,E,3862,C1,Yr2,543629.6,2842643.6,3/1/2012,Slough,,19,,,19,144,125,100,
3863,3999,P02438_N,P024,24,38,N,3863,C1,Yr2,543616.5,2842657.9,3/1/2012,Slough/Ridge,,20,,,20,144,124,100,
3864,4000,P02439_C,P024,24,39,C,3864,C1,Yr2,543504,2842716.2,3/1/2012,Ridge,,23,,,23,145,122,200,
3865,4001,P02439_E,P024,24,39,E,3865,C1,Yr2,543534.2,2842709.2,3/1/2012,Slough,,31,,,31,145,114,100,
3866,4002,P02439_N,P024,24,39,N,3866,C1,Yr2,543508,2842733.7,3/1/2012,Ridge,,22,,,22,145,123,200,
3867,4003,P02440_C,P024,24,40,C,3867,C1,Yr2,543502,2842623.2,3/1/2012,Ridge,,17,,,17,145,128,200,
3868,4004,P02440_E,P024,24,40,E,3868,C1,Yr2,543533.2,2842616,3/1/2012,Ridge,,18,,,18,145,127,200,
3869,4005,P02440_N,P024,24,40,N,3869,C1,Yr2,543506.5,2842642.7,3/1/2012,Ridge,,27,,,27,145,118,200,
3870,4006,P02446_C,P024,24,46,C,3870,C1,Yr2,542890,2844249.2,3/6/2012,Ridge,,8,,,8,147,139,200,
3871,4007,P02446_E,P024,24,46,E,3871,C1,Yr2,542919.2,2844242.4,3/6/2012,Ridge,,17,,,17,147,130,200,
3872,4008,P02446_N,P024,24,46,N,3872,C1,Yr2,542893.8,2844265.7,3/6/2012,Ridge,,10,,,10,147,137,200,
3873,4009,P02447_C,P024,24,47,C,3873,C1,Yr2,542920,2844305.2,3/6/2012,Ridge,,14,,,14,147,133,200,
3874,4010,P02447_E,P024,24,47,E,3874,C1,Yr2,542948.3,2844298.6,3/6/2012,Ridge,,20,,,20,147,127,200,
3875,4011,P02447_N,P024,24,47,N,3875,C1,Yr2,542927.2,2844336.4,3/6/2012,Ridge,,19,,,19,147,128,100,
3876,4012,P02448_C,P024,24,48,C,3876,C1,Yr2,542874,2844104.2,3/6/2012,Ridge,,21,,,21,147,126,200,
3877,4013,P02448_E,P024,24,48,E,3877,C1,Yr2,542877.9,2844103.3,3/6/2012,Ridge,,23,,,23,147,124,200,
3878,4014,P02448_N,P024,24,48,N,3878,C1,Yr2,542877.4,2844118.8,3/6/2012,Ridge,,23,,,23,147,124,200,
3879,4015,P02449_C,P024,24,49,C,3879,C1,Yr2,542870,2844319.2,3/6/2012,Ridge/Wet Prairie,,17,,,17,147,130,100,
3880,4016,P02449_E,P024,24,49,E,3880,C1,Yr2,542897.3,2844312.9,3/6/2012,Ridge,,12,,,12,147,135,100,
3881,4017,P02449_N,P024,24,49,N,3881,C1,Yr2,542871.8,2844327,3/6/2012,Ridge,,23,,,23,147,124,200,
3882,4018,P02450_C,P024,24,50,C,3882,C1,Yr2,542800,2844150.2,3/6/2012,Ridge,,18,,,18,148,130,300,
3883,4019,P02450_E,P024,24,50,E,3883,C1,Yr2,542817.5,2844146.1,3/6/2012,Ridge,,25,,,25,147,122,200,
3884,4020,P02450_N,P024,24,50,N,3884,C1,Yr2,542804.5,2844169.7,3/6/2012,Ridge,,28,,,28,147,119,300,
3885,4021,P02451_C,P024,24,51,C,3885,C1,Yr2,543216,2844122.2,3/6/2012,Ridge,,23,,,23,147,124,200,
3886,4022,P02451_E,P024,24,51,E,3886,C1,Yr2,543227.7,2844119.5,3/6/2012,Ridge,,24,,,24,147,123,200,
3887,4023,P02451_N,P024,24,51,N,3887,C1,Yr2,543218.5,2844132.9,3/6/2012,Ridge,,19,,,19,147,128,200,
3888,4024,P02452_C,P024,24,52,C,3888,C1,Yr2,543237,2844151.2,3/6/2012,Ridge,,23,,,23,147,124,200,
3889,4025,P02452_E,P024,24,52,E,3889,C1,Yr2,543258.4,2844146.2,3/6/2012,Ridge,,23,,,23,147,124,200,
3890,4026,P02452_N,P024,24,52,N,3890,C1,Yr2,543244.6,2844184.3,3/6/2012,Ridge/Wet Prairie,,11,,,11,147,136,200,
3891,4027,P02453_C,P024,24,53,C,3891,C1,Yr2,543206,2843978.2,3/6/2012,Ridge,,15,,,15,146,131,100,
3892,4028,P02453_E,P024,24,53,E,3892,C1,Yr2,543208.9,2843977.5,3/6/2012,Ridge,,18,,,18,146,128,100,
3893,4029,P02453_N,P024,24,53,N,3893,C1,Yr2,543208.9,2843990.8,3/6/2012,Ridge,,13,,,13,146,133,100,
3894,4030,P02454_C,P024,24,54,C,3894,C1,Yr2,543125,2844222.2,3/6/2012,Ridge,,23,,,23,147,124,200,
3895,4031,P02454_E,P024,24,54,E,3895,C1,Yr2,543145.5,2844217.4,3/6/2012,Ridge,,23,,,23,147,124,200,
3896,4032,P02454_N,P024,24,54,N,3896,C1,Yr2,543130.6,2844246.5,3/6/2012,Ridge,,23,,,23,147,124,200,
3897,4033,P02455_C,P024,24,55,C,3897,C1,Yr2,543077,2844053.2,3/6/2012,Ridge,,20,,,20,147,127,200,
3898,4034,P02455_E,P024,24,55,E,3898,C1,Yr2,543096.5,2844048.7,3/6/2012,Ridge,,14,,,14,147,133,100,
3899,4035,P02455_N,P024,24,55,N,3899,C1,Yr2,543078.8,2844061,3/6/2012,Ridge,,20,,,20,147,127,100,
3900,4036,P02456_C,P024,24,56,C,3900,C1,Yr2,543882,2844145.2,3/6/2012,Ridge,,19,,,19,147,128,200,
