PSU_CY,PSU_CY_YR,PSU_ID,PSU,PLOT,CLUS,POINT,EAST_UTM_NAD83,NORTH_UTM_NAD83,SampDate,WD1,WD2,WD3,WD_MN,CLAJAM_HT,HABITAT_L2,DATASHEET,EDENWSE,SOILDEP,GR_ELEV,BR_ELEV,SOILDEP_corr,MAP_CLASS,MAP_CLASS_corr,OBSERVER
C1,3,37,P037,70_E,70,E,562703,2911675,12/14/2012,45,1,1,44,0,Cattail,NA,345,NA,301,NA,NA,NA,NA,NA
C1,3,37,P037,70_N,70,N,562677,2911688,12/14/2012,36,1,1,36,0,Cattail,NA,345,NA,309,NA,NA,NA,NA,NA
C1,3,37,P037,71_C,71,C,563048,2911303,12/14/2012,43,1,1,54,0,Cattail,NA,345,TRUE,291,TRUE,NA,NA,NA,NA
C1,3,37,P037,71_E,71,E,563081,2911303,12/14/2012,30,1,1,33,1,Cattail,NA,345,NA,312,NA,NA,NA,NA,NA
C1,3,37,P037,71_N,71,N,563045,2911319,12/14/2012,47,1,1,44,0,Cattail,NA,345,NA,301,NA,NA,NA,NA,NA
C1,3,37,P037,72_C,72,C,563159,2911378,12/14/2012,30,1,1,35,0,Cattail,NA,345,TRUE,310,TRUE,NA,NA,NA,NA
C1,3,37,P037,72_E,72,E,563182,2911377,12/14/2012,24,1,1,26,2,Cattail,NA,345,NA,319,NA,NA,NA,NA,NA
C1,3,37,P037,72_N,72,N,563159,2911396,12/14/2012,28,1,1,29,0,Cattail,NA,345,NA,316,NA,NA,NA,NA,NA
C1,3,37,P037,75_C,75,C,563041,2911274,12/14/2012,24,1,1,25,2,Cattail,NA,345,NA,320,NA,NA,NA,NA,NA
C1,3,37,P037,75_E,75,E,563073,2911276,12/14/2012,56,1,1,57,0,Cattail,NA,345,NA,288,NA,NA,NA,NA,NA
C1,3,37,P037,75_N,75,N,563041,2911298,12/14/2012,58,1,1,60,0,Cattail,NA,345,NA,285,NA,NA,NA,NA,NA
C1,3,37,P037,77_C,77,C,563417,2911400,12/14/2012,42,1,1,45,0,Cattail,NA,345,TRUE,300,TRUE,NA,NA,NA,NA
C1,3,37,P037,77_E,77,E,563440,2911399,12/14/2012,38,1,1,39,0,Cattail,NA,345,NA,306,NA,NA,NA,NA,NA
C1,3,37,P037,77_N,77,N,563417,2911407,12/14/2012,35,1,1,34,0,Cattail,NA,345,NA,311,NA,NA,NA,NA,NA
C1,3,37,P037,78_C,78,C,563434,2911255,12/14/2012,31,1,1,33,0,Cattail,NA,345,TRUE,312,TRUE,NA,NA,NA,NA
C1,3,37,P037,78_E,78,E,563448,2911256,12/14/2012,24,1,1,23,2,Cattail,NA,345,NA,322,NA,NA,NA,NA,NA
C1,3,37,P037,78_N,78,N,563435,2911277,12/14/2012,28,1,1,26,0,Cattail,NA,345,NA,319,NA,NA,NA,NA,NA
C1,3,37,P037,80_C,80,C,563355,2911327,12/14/2012,38,1,1,38,0,Cattail,NA,345,TRUE,307,TRUE,NA,NA,NA,NA
C1,3,37,P037,80_E,80,E,563372,2911327,12/14/2012,40,1,1,38,0,Cattail,NA,345,NA,307,NA,NA,NA,NA,NA
C1,3,37,P037,80_N,80,N,563356,2911332,12/14/2012,25,1,1,31,0,Cattail,NA,345,NA,314,NA,NA,NA,NA,NA
C1,3,39,P039,01_C,1,C,520256,2888398,10/30/2012,44,1,1,45,1,Ridge/Wet Prairie,NA,313,TRUE,268,TRUE,NA,NA,NA,NA
C1,3,39,P039,01_E,1,E,520263,2888398,10/30/2012,44,1,1,44,1,Ridge/Wet Prairie,NA,313,NA,269,NA,NA,NA,NA,NA
C1,3,39,P039,01_N,1,N,520256,2888405,10/30/2012,48,1,1,47,1,Ridge/Wet Prairie,NA,313,NA,266,NA,NA,NA,NA,NA
C1,3,39,P039,04_C,4,C,520117,2888475,10/30/2012,54,1,1,54,0,Ridge/Wet Prairie,NA,313,TRUE,259,TRUE,NA,NA,NA,NA
C1,3,39,P039,04_E,4,E,520146,2888475,10/30/2012,58,1,1,57,1,Ridge/Wet Prairie,NA,313,NA,256,NA,NA,NA,NA,NA
C1,3,39,P039,04_N,4,N,520118,2888501,10/30/2012,51,1,1,52,2,Ridge/Wet Prairie,NA,313,NA,261,NA,NA,NA,NA,NA
C1,3,39,P039,05_C,5,C,520160,2888360,10/30/2012,53,1,1,54,1,Ridge/Wet Prairie,NA,313,TRUE,259,TRUE,NA,NA,NA,NA
C1,3,39,P039,05_E,5,E,520177,2888360,10/30/2012,51,1,1,52,1,Ridge/Wet Prairie,NA,313,NA,261,NA,NA,NA,NA,NA
C1,3,39,P039,05_N,5,N,520160,2888390,10/30/2012,59,1,1,59,0,Ridge/Wet Prairie,NA,313,NA,254,NA,NA,NA,NA,NA
C1,3,39,P039,06_C,6,C,520469,2888725,10/30/2012,46,1,1,47,2,Ridge/Wet Prairie,NA,313,TRUE,266,TRUE,NA,NA,NA,NA
C1,3,39,P039,06_E,6,E,520477,2888725,10/30/2012,55,1,1,55,1,Ridge/Wet Prairie,NA,313,NA,258,NA,NA,NA,NA,NA
C1,3,39,P039,06_N,6,N,520470,2888738,10/30/2012,52,1,1,50,1,Ridge/Wet Prairie,NA,313,NA,263,NA,NA,NA,NA,NA
C1,3,39,P039,08_C,8,C,520544,2888643,10/30/2012,39,1,1,40,2,Ridge/Wet Prairie,NA,313,TRUE,273,TRUE,NA,NA,NA,NA
C1,3,39,P039,08_E,8,E,520552,2888644,10/30/2012,40,1,1,42,2,Ridge/Wet Prairie,NA,313,NA,271,NA,NA,NA,NA,NA
C1,3,39,P039,08_N,8,N,520544,2888652,10/30/2012,47,1,1,45,2,Ridge/Wet Prairie,NA,313,NA,268,NA,NA,NA,NA,NA
C1,3,39,P039,09_C,9,C,520370,2888770,10/30/2012,40,1,1,44,2,Ridge/Wet Prairie,NA,313,TRUE,269,TRUE,NA,NA,NA,NA
C1,3,39,P039,09_E,9,E,520382,2888770,10/30/2012,36,1,1,39,2,Ridge/Wet Prairie,NA,313,NA,274,NA,NA,NA,NA,NA
C1,3,39,P039,09_N,9,N,520369,2888801,10/30/2012,43,1,1,42,1,Ridge/Wet Prairie,NA,314,NA,272,NA,NA,NA,NA,NA
C1,3,39,P039,12_C,12,C,520862,2888532,10/30/2012,57,1,1,56,1,Ridge/Slough,NA,312,TRUE,256,TRUE,NA,NA,NA,NA
C1,3,39,P039,12_E,12,E,520895,2888532,10/30/2012,58,1,1,57,1,Ridge/Slough,NA,312,NA,255,NA,NA,NA,NA,NA
C1,3,39,P039,12_N,12,N,520861,2888561,10/30/2012,46,1,1,45,0,Ridge/Slough,NA,312,NA,267,NA,NA,NA,NA,NA
C1,3,39,P039,13_C,13,C,520946,2888342,10/30/2012,55,1,1,53,1,Ridge,NA,312,TRUE,259,TRUE,NA,NA,NA,NA
C1,3,39,P039,13_E,13,E,520965,2888340,10/30/2012,41,1,1,39,2,Ridge,NA,312,NA,273,NA,NA,NA,NA,NA
C1,3,39,P039,13_N,13,N,520946,2888366,10/30/2012,59,1,1,60,0,Ridge,NA,312,NA,252,NA,NA,NA,NA,NA
C1,3,39,P039,15_C,15,C,520857,2888289,10/30/2012,57,1,1,58,0,Wet Prairie,NA,312,TRUE,254,TRUE,NA,NA,NA,NA
C1,3,39,P039,15_E,15,E,520888,2888290,10/30/2012,61,1,1,62,0,Wet Prairie,NA,312,NA,250,NA,NA,NA,NA,NA
C1,3,39,P039,15_N,15,N,520857,2888319,10/30/2012,60,1,1,60,0,Wet Prairie,NA,312,NA,252,NA,NA,NA,NA,NA
C1,3,39,P039,16_C,16,C,521607,2888637,11/5/2012,53,NA,NA,53,1,Ridge/Slough,NA,307,TRUE,254,TRUE,NA,NA,NA,NA
C1,3,39,P039,16_E,16,E,521612,2888637,11/5/2012,NA,1,NA,51,0,Ridge/Slough,NA,307,NA,256,NA,NA,NA,NA,NA
C1,3,39,P039,16_N,16,N,521606,2888670,11/5/2012,NA,NA,1,39,1,Ridge,NA,307,NA,268,NA,NA,NA,NA,NA
C1,3,39,P039,18_C,18,C,521621,2888633,11/5/2012,48,1,1,49,1,Ridge/Wet Prairie,NA,307,TRUE,258,TRUE,NA,NA,NA,NA
C1,3,39,P039,18_E,18,E,521622,2888635,11/5/2012,48,1,1,49,1,Ridge/Slough,NA,307,NA,258,NA,NA,NA,NA,NA
C1,3,39,P039,18_N,18,N,521620,2888654,11/5/2012,38,1,1,38,2,Ridge,NA,307,NA,269,NA,NA,NA,NA,NA
C1,3,39,P039,19_C,19,C,521463,2888704,11/5/2012,54,1,1,54,0,Wet Prairie,NA,308,TRUE,254,TRUE,NA,NA,NA,NA
C1,3,39,P039,19_E,19,E,521477,2888705,11/5/2012,57,1,1,57,1,Wet Prairie,NA,308,NA,251,NA,NA,NA,NA,NA
C1,3,39,P039,19_N,19,N,521464,2888729,11/5/2012,57,1,1,56,0,Wet Prairie,NA,308,NA,252,NA,NA,NA,NA,NA
C1,3,39,P039,22_C,22,C,519684,2890392,10/30/2012,42,1,1,43,2,Ridge,NA,314,TRUE,271,TRUE,NA,NA,NA,NA
C1,3,39,P039,22_E,22,E,519690,2890393,10/30/2012,42,1,1,41,2,Ridge,NA,314,NA,273,NA,NA,NA,NA,NA
C1,3,39,P039,22_N,22,N,519685,2890424,10/30/2012,41,1,1,42,2,Ridge,NA,314,NA,272,NA,NA,NA,NA,NA
C1,3,39,P039,23_C,23,C,519747,2890207,10/30/2012,59,1,1,59,0,Wet Prairie,NA,314,TRUE,255,TRUE,NA,NA,NA,NA
C1,3,39,P039,23_E,23,E,519751,2890206,10/30/2012,57,1,1,57,0,Wet Prairie,NA,314,NA,257,NA,NA,NA,NA,NA
C1,3,39,P039,23_N,23,N,519748,2890229,10/30/2012,53,1,1,52,0,Wet Prairie,NA,314,NA,262,NA,NA,NA,NA,NA
C1,3,39,P039,24_C,24,C,519536,2890485,10/30/2012,53,1,1,53,0,Wet Prairie,NA,315,TRUE,262,TRUE,NA,NA,NA,NA
C1,3,39,P039,24_E,24,E,519549,2890484,10/30/2012,56,1,1,56,0,Wet Prairie,NA,315,NA,259,NA,NA,NA,NA,NA
C1,3,39,P039,24_N,24,N,519536,2890506,10/30/2012,59,1,1,58,0,Wet Prairie,NA,315,NA,257,NA,NA,NA,NA,NA
C1,3,39,P039,28_C,28,C,520063,2889426,10/30/2012,57,1,1,56,0,Wet Prairie,NA,314,TRUE,258,TRUE,NA,NA,NA,NA
C1,3,39,P039,28_E,28,E,520095,2889430,10/30/2012,43,1,1,42,1,Wet Prairie,NA,314,NA,272,NA,NA,NA,NA,NA
C1,3,39,P039,28_N,28,N,520063,2889433,10/30/2012,54,1,1,55,0,Wet Prairie,NA,314,NA,259,NA,NA,NA,NA,NA
C1,3,39,P039,29_C,29,C,519965,2889663,10/30/2012,44,1,1,45,1,Ridge,NA,314,TRUE,269,TRUE,NA,NA,NA,NA
C1,3,39,P039,29_E,29,E,519984,2889662,10/30/2012,53,1,1,53,1,Ridge,NA,314,NA,261,NA,NA,NA,NA,NA
C1,3,39,P039,29_N,29,N,519964,2889673,10/30/2012,42,1,1,44,1,Ridge,NA,314,NA,270,NA,NA,NA,NA,NA
C1,3,39,P039,30_C,30,C,519969,2889565,10/30/2012,50,1,1,49,1,Wet Prairie,NA,314,TRUE,265,TRUE,NA,NA,NA,NA
C1,3,39,P039,30_E,30,E,519988,2889566,10/30/2012,49,1,1,50,0,Wet Prairie,NA,314,NA,264,NA,NA,NA,NA,NA
C1,3,39,P039,30_N,30,N,519968,2889554,10/30/2012,51,1,1,53,1,Wet Prairie,NA,314,NA,261,NA,NA,NA,NA,NA
C1,3,39,P039,31_C,31,C,520447,2889997,10/30/2012,42,1,1,41,2,Ridge,NA,313,TRUE,272,TRUE,NA,NA,NA,NA
C1,3,39,P039,31_E,31,E,520475,2889998,10/30/2012,38,1,1,36,2,Ridge,NA,313,NA,277,NA,NA,NA,NA,NA
C1,3,39,P039,31_N,31,N,520447,2890009,10/30/2012,45,1,1,43,2,Ridge,NA,314,NA,271,NA,NA,NA,NA,NA
C1,3,39,P039,34_C,34,C,520405,2890130,10/30/2012,54,1,1,54,0,Wet Prairie,NA,314,TRUE,260,TRUE,NA,NA,NA,NA
C1,3,39,P039,34_E,34,E,520429,2890131,10/30/2012,52,1,1,53,1,Wet Prairie,NA,314,NA,261,NA,NA,NA,NA,NA
C1,3,39,P039,34_N,34,N,520407,2890141,10/30/2012,55,1,1,55,0,Wet Prairie,NA,314,NA,259,NA,NA,NA,NA,NA
C1,3,39,P039,35_C,35,C,520370,2889933,10/30/2012,41,1,1,41,2,Ridge,NA,314,TRUE,273,TRUE,NA,NA,NA,NA
C1,3,39,P039,35_E,35,E,520402,2889933,10/30/2012,47,1,1,45,2,Ridge,NA,313,NA,268,NA,NA,NA,NA,NA
C1,3,39,P039,35_N,35,N,520370,2889955,10/30/2012,43,1,1,44,2,Ridge,NA,314,NA,270,NA,NA,NA,NA,NA
C1,3,39,P039,37_C,37,C,520827,2890492,11/5/2012,50,1,1,51,0,Wet Prairie,NA,310,TRUE,259,TRUE,NA,NA,NA,NA
C1,3,39,P039,37_E,37,E,520834,2890491,11/5/2012,53,1,1,52,0,Wet Prairie,NA,310,NA,258,NA,NA,NA,NA,NA
C1,3,39,P039,37_N,37,N,520826,2890500,11/5/2012,48,1,1,49,1,Wet Prairie,NA,310,NA,261,NA,NA,NA,NA,NA
C1,3,39,P039,38_C,38,C,520921,2890394,11/5/2012,53,NA,NA,53,1,Ridge/Wet Prairie,NA,309,TRUE,256,TRUE,NA,NA,NA,NA
C1,3,39,P039,38_E,38,E,520931,2890395,11/5/2012,NA,1,NA,54,0,Ridge/Wet Prairie,NA,309,NA,256,NA,NA,NA,NA,NA
C1,3,39,P039,38_N,38,N,520921,2890405,11/5/2012,NA,NA,1,53,0,Wet Prairie,NA,310,NA,257,NA,NA,NA,NA,NA
C1,3,39,P039,40_C,40,C,520823,2890393,11/5/2012,35,1,1,36,2,Ridge,NA,309,TRUE,273,TRUE,NA,NA,NA,NA
C1,3,39,P039,40_E,40,E,520848,2890393,11/5/2012,59,1,1,58,2,Ridge,NA,309,NA,251,NA,NA,NA,NA,NA
C1,3,39,P039,40_N,40,N,520823,2890414,11/5/2012,39,1,1,38,2,Ridge,NA,310,NA,272,NA,NA,NA,NA,NA
C1,3,39,P039,42_C,42,C,519321,2890782,11/5/2012,45,NA,NA,45,1,Ridge,NA,311,TRUE,266,TRUE,NA,NA,NA,NA
C1,3,39,P039,42_E,42,E,519357,2890781,11/5/2012,NA,1,NA,35,2,Ridge,NA,311,NA,276,NA,NA,NA,NA,NA
C1,3,39,P039,42_N,42,N,519322,2890809,11/5/2012,NA,NA,1,48,1,Ridge,NA,311,NA,263,NA,NA,NA,NA,NA
C1,3,39,P039,43_C,43,C,519401,2890569,11/5/2012,39,1,1,41,0,Wet Prairie,NA,311,TRUE,270,TRUE,NA,NA,NA,NA
C1,3,39,P039,43_E,43,E,519411,2890569,11/5/2012,51,1,1,50,0,Wet Prairie,NA,311,NA,261,NA,NA,NA,NA,NA
C1,3,39,P039,43_N,43,N,519401,2890594,11/5/2012,35,1,1,35,1,Ridge,NA,311,NA,276,NA,NA,NA,NA,NA
C1,3,39,P039,44_C,44,C,519289,2890704,11/5/2012,43,1,1,42,0,Wet Prairie,NA,311,TRUE,269,TRUE,NA,NA,NA,NA
C1,3,39,P039,44_E,44,E,519324,2890704,11/5/2012,43,1,1,43,1,Wet Prairie,NA,311,NA,268,NA,NA,NA,NA,NA
C1,3,39,P039,44_N,44,N,519289,2890712,11/5/2012,44,1,1,44,1,Wet Prairie,NA,311,NA,267,NA,NA,NA,NA,NA
C1,3,39,P039,47_C,47,C,519929,2891782,11/5/2012,37,1,1,39,1,Ridge/Wet Prairie,NA,310,TRUE,271,TRUE,NA,NA,NA,NA
C1,3,39,P039,47_E,47,E,519964,2891783,11/5/2012,29,1,1,30,1,Ridge/Wet Prairie,NA,310,NA,280,NA,NA,NA,NA,NA
C1,3,39,P039,47_N,47,N,519929,2891802,11/5/2012,37,1,1,37,1,Ridge/Wet Prairie,NA,310,NA,273,NA,NA,NA,NA,NA
C1,3,39,P039,48_C,48,C,520027,2891569,11/5/2012,49,NA,NA,49,0,Wet Prairie,NA,311,TRUE,262,TRUE,NA,NA,NA,NA
C1,3,39,P039,48_E,48,E,520030,2891565,11/5/2012,NA,1,NA,52,0,Wet Prairie,NA,311,NA,260,NA,NA,NA,NA,NA
C1,3,39,P039,48_N,48,N,520024,2891595,11/5/2012,NA,NA,1,53,0,Wet Prairie,NA,311,NA,258,NA,NA,NA,NA,NA
C1,3,39,P039,50_C,50,C,519868,2891634,11/5/2012,40,1,1,42,2,Ridge,NA,310,TRUE,268,TRUE,NA,NA,NA,NA
C1,3,39,P039,50_E,50,E,519882,2891634,11/5/2012,48,1,1,49,2,Ridge,NA,310,NA,261,NA,NA,NA,NA,NA
C1,3,39,P039,50_N,50,N,519867,2891654,11/5/2012,38,1,1,37,3,Ridge,NA,310,NA,273,NA,NA,NA,NA,NA
C1,3,39,P039,51_C,51,C,520332,2891843,11/5/2012,43,1,1,42,1,Ridge,NA,311,TRUE,269,TRUE,NA,NA,NA,NA
C1,3,39,P039,51_E,51,E,520338,2891843,11/5/2012,38,1,1,39,2,Ridge,NA,311,NA,272,NA,NA,NA,NA,NA
C1,3,39,P039,51_N,51,N,520331,2891870,11/5/2012,37,1,1,38,2,Ridge,NA,311,NA,273,NA,NA,NA,NA,NA
C1,3,39,P039,52_C,52,C,520362,2891968,11/5/2012,43,1,1,43,0,Wet Prairie,NA,311,TRUE,268,TRUE,NA,NA,NA,NA
C1,3,39,P039,52_E,52,E,520384,2891968,11/5/2012,44,1,1,46,0,Wet Prairie,NA,311,NA,265,NA,NA,NA,NA,NA
C1,3,39,P039,52_N,52,N,520362,2891976,11/5/2012,46,1,1,46,0,Wet Prairie,NA,311,NA,265,NA,NA,NA,NA,NA
C1,3,39,P039,55_C,55,C,520287,2891813,11/5/2012,49,NA,NA,49,0,Wet Prairie,NA,311,TRUE,262,TRUE,NA,NA,NA,NA
C1,3,39,P039,55_E,55,E,520318,2891814,11/5/2012,NA,1,NA,48,0,Wet Prairie,NA,311,NA,263,NA,NA,NA,NA,NA
C1,3,39,P039,55_N,55,N,520290,2891817,11/5/2012,NA,NA,1,49,0,Wet Prairie,NA,311,NA,262,NA,NA,NA,NA,NA
C1,3,39,P039,57_C,57,C,520707,2891341,11/5/2012,49,1,1,47,1,Wet Prairie,NA,310,TRUE,263,TRUE,NA,NA,NA,NA
C1,3,39,P039,57_E,57,E,520721,2891342,11/5/2012,43,1,1,43,2,Wet Prairie,NA,310,NA,267,NA,NA,NA,NA,NA
C1,3,39,P039,57_N,57,N,520707,2891346,11/5/2012,44,1,1,45,0,Wet Prairie,NA,310,NA,265,NA,NA,NA,NA,NA
C1,3,39,P039,58_C,58,C,520726,2891254,11/5/2012,49,NA,NA,49,0,Ridge,NA,310,TRUE,261,TRUE,NA,NA,NA,NA
C1,3,39,P039,58_E,58,E,520763,2891253,11/5/2012,NA,1,NA,44,1,Ridge,NA,310,NA,266,NA,NA,NA,NA,NA
C1,3,39,P039,58_N,58,N,520729,2891261,11/5/2012,NA,NA,1,44,1,Ridge,NA,310,NA,266,NA,NA,NA,NA,NA
C1,3,39,P039,59_C,59,C,520556,2891431,11/5/2012,41,1,1,41,2,Ridge,NA,310,TRUE,269,TRUE,NA,NA,NA,NA
C1,3,39,P039,59_E,59,E,520586,2891431,11/5/2012,39,1,1,39,2,Ridge,NA,310,NA,271,NA,NA,NA,NA,NA
C1,3,39,P039,59_N,59,N,520556,2891449,11/5/2012,43,1,1,42,2,Ridge,NA,310,NA,268,NA,NA,NA,NA,NA
C1,3,39,P039,61_C,61,C,518866,2892557,11/5/2012,42,1,1,43,1,Wet Prairie,NA,310,TRUE,267,TRUE,NA,NA,NA,NA
C1,3,39,P039,61_E,61,E,518872,2892557,11/5/2012,42,1,1,44,1,Wet Prairie,NA,310,NA,266,NA,NA,NA,NA,NA
C1,3,39,P039,61_N,61,N,518867,2892566,11/5/2012,41,1,1,42,1,Wet Prairie,NA,310,NA,268,NA,NA,NA,NA,NA
C1,3,39,P039,63_C,63,C,518989,2892482,11/15/2012,29.5,NA,NA,30,2,Ridge,NA,303,TRUE,274,TRUE,NA,NA,NA,NA
C1,3,39,P039,63_E,63,E,519002,2892482,11/15/2012,NA,1,NA,41,1,Ridge,NA,303,NA,262,NA,NA,NA,NA,NA
C1,3,39,P039,63_N,63,N,518987,2892494,11/15/2012,NA,NA,1,37,2,Ridge,NA,303,NA,266,NA,NA,NA,NA,NA
C1,3,39,P039,64_C,64,C,518750,2892601,11/5/2012,41,1,1,41,0,Wet Prairie,NA,310,TRUE,269,TRUE,NA,NA,NA,NA
C1,3,39,P039,64_E,64,E,518760,2892601,11/5/2012,38,1,1,39,0,Wet Prairie,NA,310,NA,271,NA,NA,NA,NA,NA
C1,3,39,P039,64_N,64,N,518750,2892608,11/5/2012,39,1,1,39,1,Wet Prairie,NA,310,NA,271,NA,NA,NA,NA,NA
C1,3,39,P039,66_C,66,C,519385,2892259,11/5/2012,46,1,1,47,1,Wet Prairie,NA,311,TRUE,264,TRUE,NA,NA,NA,NA
C1,3,39,P039,66_E,66,E,519405,2892260,11/5/2012,43,1,1,45,0,Wet Prairie,NA,311,NA,266,NA,NA,NA,NA,NA
C1,3,39,P039,66_N,66,N,519384,2892267,11/5/2012,47,1,1,47,0,Wet Prairie,NA,311,NA,264,NA,NA,NA,NA,NA
C1,3,39,P039,67_C,67,C,519438,2892430,11/5/2012,40,1,1,40,2,Ridge,NA,311,TRUE,271,TRUE,NA,NA,NA,NA
C1,3,39,P039,67_E,67,E,519444,2892430,11/5/2012,44,1,1,43,2,Ridge,NA,311,NA,268,NA,NA,NA,NA,NA
C1,3,39,P039,67_N,67,N,519438,2892450,11/5/2012,39,1,1,44,2,Ridge,NA,311,NA,267,NA,NA,NA,NA,NA
C1,3,39,P039,68_C,68,C,519443,2892131,11/5/2012,45.5,NA,NA,46,0,Wet Prairie,NA,311,TRUE,266,TRUE,NA,NA,NA,NA
C1,3,39,P039,68_E,68,E,519473,2892130,11/5/2012,NA,1,NA,44,0,Wet Prairie,NA,311,NA,268,NA,NA,NA,NA,NA
C1,3,39,P039,68_N,68,N,519444,2892143,11/5/2012,NA,NA,1,45,0,Wet Prairie,NA,311,NA,266,NA,NA,NA,NA,NA
C1,3,39,P039,71_C,71,C,520215,2892018,11/5/2012,50,1,1,50,1,Wet Prairie,NA,310,TRUE,260,TRUE,NA,NA,NA,NA
C1,3,39,P039,71_E,71,E,520230,2892017,11/5/2012,49,1,1,49,0,Wet Prairie,NA,310,NA,261,NA,NA,NA,NA,NA
C1,3,39,P039,71_N,71,N,520215,2892039,11/5/2012,50,1,1,50,0,Wet Prairie,NA,310,NA,260,NA,NA,NA,NA,NA
C1,3,39,P039,73_C,73,C,520261,2891903,11/5/2012,44,NA,NA,44,0,Wet Prairie,NA,311,TRUE,267,TRUE,NA,NA,NA,NA
C1,3,39,P039,73_E,73,E,520271,2891901,11/5/2012,NA,1,NA,48,0,Wet Prairie,NA,311,NA,263,NA,NA,NA,NA,NA
C1,3,39,P039,73_N,73,N,520259,2891924,11/5/2012,NA,NA,1,48,0,Wet Prairie,NA,311,NA,263,NA,NA,NA,NA,NA
C1,3,39,P039,75_C,75,C,520143,2891833,11/5/2012,45,1,1,43,1,Ridge,NA,311,TRUE,268,TRUE,NA,NA,NA,NA
C1,3,39,P039,75_E,75,E,520167,2891832,11/5/2012,41,1,1,37,2,Ridge,NA,311,NA,274,NA,NA,NA,NA,NA
C1,3,39,P039,75_N,75,N,520142,2891853,11/5/2012,30,1,1,30,2,Ridge,NA,311,NA,281,NA,NA,NA,NA,NA
C1,3,39,P039,77_C,77,C,520643,2892258,11/5/2012,49,1,1,45,2,Ridge,NA,310,TRUE,265,TRUE,NA,NA,NA,NA
C1,3,39,P039,77_E,77,E,520658,2892257,11/5/2012,43,1,1,43,2,Ridge,NA,310,NA,267,NA,NA,NA,NA,NA
C1,3,39,P039,77_N,77,N,520644,2892274,11/5/2012,42,1,1,42,2,Ridge,NA,310,NA,268,NA,NA,NA,NA,NA
C1,3,39,P039,78_C,78,C,520730,2891937,11/5/2012,37,NA,NA,37,1,Ridge,NA,311,TRUE,274,TRUE,NA,NA,NA,NA
C1,3,39,P039,78_E,78,E,520747,2891936,11/5/2012,NA,1,NA,43,0,Wet Prairie,NA,311,NA,268,NA,NA,NA,NA,NA
C1,3,39,P039,78_N,78,N,520729,2891953,11/5/2012,NA,NA,1,41,1,Ridge,NA,311,NA,270,NA,NA,NA,NA,NA
C1,3,39,P039,79_C,79,C,520520,2892178,11/5/2012,35,1,1,38,1,Wet Prairie,NA,310,TRUE,272,TRUE,NA,NA,NA,NA
C1,3,39,P039,79_E,79,E,520546,2892177,11/5/2012,37,1,1,36,1,Wet Prairie,NA,310,NA,274,NA,NA,NA,NA,NA
C1,3,39,P039,79_N,79,N,520520,2892189,11/5/2012,42,1,1,40,0,Wet Prairie,NA,310,NA,270,NA,NA,NA,NA,NA
C1,3,43,P043,02_C,2,C,539085,2895082,11/8/2012,59,1,1,60,2,Ridge,NA,305,TRUE,245,TRUE,NA,NA,NA,NA
C1,3,43,P043,02_E,2,E,539110,2895082,11/8/2012,72,1,1,69,2,Ridge,NA,305,NA,236,NA,NA,NA,NA,NA
C1,3,43,P043,02_N,2,N,539084,2895113,11/8/2012,60,1,1,60,2,Ridge,NA,305,NA,245,NA,NA,NA,NA,NA
C1,3,43,P043,03_C,3,C,539152,2894924,11/8/2012,48,1,1,52,2,Ridge,NA,305,TRUE,253,TRUE,NA,NA,NA,NA
C1,3,43,P043,03_E,3,E,539165,2894920,11/8/2012,53,1,1,54,2,Ridge,NA,305,NA,251,NA,NA,NA,NA,NA
C1,3,43,P043,03_N,3,N,539148,2894935,11/8/2012,56,1,1,57,1,Ridge,NA,305,NA,248,NA,NA,NA,NA,NA
C1,3,43,P043,05_C,5,C,539017,2894966,11/8/2012,53,1,1,52,0,Cattail,NA,305,TRUE,253,TRUE,NA,NA,NA,NA
C1,3,43,P043,05_E,5,E,539029,2894967,11/8/2012,48,1,1,49,0,Cattail,NA,305,NA,256,NA,NA,NA,NA,NA
C1,3,43,P043,05_N,5,N,539016,2894979,11/8/2012,47,1,1,48,0,Cattail,NA,305,NA,257,NA,NA,NA,NA,NA
C1,3,43,P043,07_C,7,C,539513,2895436,11/8/2012,64,1,1,65,1,Ridge,NA,305,TRUE,240,TRUE,NA,NA,NA,NA
C1,3,43,P043,07_E,7,E,539524,2895437,11/8/2012,64,1,1,63,2,Ridge,NA,305,NA,242,NA,NA,NA,NA,NA
C1,3,43,P043,07_N,7,N,539513,2895455,11/8/2012,61,1,1,62,1,Ridge,NA,305,NA,243,NA,NA,NA,NA,NA
C1,3,43,P043,08_C,8,C,539457,2895272,11/8/2012,59,1,1,59,0,Wet Prairie,NA,305,TRUE,246,TRUE,NA,NA,NA,NA
C1,3,43,P043,08_E,8,E,539479,2895273,11/8/2012,57,1,1,58,1,Wet Prairie,NA,305,NA,247,NA,NA,NA,NA,NA
C1,3,43,P043,08_N,8,N,539457,2895298,11/8/2012,61,1,1,61,0,Wet Prairie,NA,305,NA,244,NA,NA,NA,NA,NA
C1,3,43,P043,10_C,10,C,539425,2895289,11/8/2012,59,1,1,59,1,Ridge,NA,305,TRUE,246,TRUE,NA,NA,NA,NA
C1,3,43,P043,10_E,10,E,539443,2895291,11/8/2012,61,1,1,60,1,Ridge,NA,305,NA,245,NA,NA,NA,NA,NA
